Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
772EC80B mov edi,ntdll.772EC890                          "TpAllocWait"
772EC810 mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772EC995 mov ebx,ntdll.772EC2B8                          "FALSE"
772EC99A mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772EC9AC mov edi,ntdll.772D02F8                          "TppWaitpValidateWait"
772ECA37 mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772ECA49 mov edi,ntdll.772D02F8                          "TppWaitpValidateWait"
772ECC26 mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772ECC38 mov edi,ntdll.772B27C4                          "TppTimerpValidateTimer"
772ECE85 mov ebx,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772ECF1E mov edi,ntdll.772ECF54                          "TppTimerpDestroyTimerQueueQueue"
772ECF23 mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772ECF89 mov edi,ntdll.772ED000                          "TpSetPoolMinThreads"
772ECF8E mov esi,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
772ED02C mov edi,ntdll.772ED09C                          "TpSetPoolMaxThreads"
772ED031 mov esi,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
772ED42F mov esi,ntdll.772E67FC                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\io.c"
772ED441 mov edi,ntdll.772E6828                          "TppIopValidateIo"
772ED563 mov edi,ntdll.772ED5CC                          "TpReleaseCleanupGroup"
772ED568 mov esi,ntdll.772ED64C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrp.c"
772ED5F3 mov edi,ntdll.772ED634                          "TppCleanupGrouppFree"
772ED5F8 mov esi,ntdll.772ED64C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrp.c"
