Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
7731A31A push ntdll.7731A3D0                             "ThreadPool: callback %p(%p) returned with preferred languages set\n"
7731A354 push ntdll.7731A388                             "ThreadPool: callback %p(%p) returned with background priorities set\n"
7731A644 push ntdll.7731E9FC                             "Instance = %p\n"
7731A64B push ntdll.7731A6D4                             "TpDisassociateCallback"
7731A6BD push ntdll.7731A6D4                             "TpDisassociateCallback"
7731A6FE push ntdll.7731E9FC                             "Instance = %p\n"
7731A736 push ntdll.7731E76C                             "Status: %08x\n"
7731A768 push ntdll.7731E76C                             "Status: %08x\n"
7731A78A push ntdll.7731E76C                             "Status: %08x\n"
7731A791 push ntdll.772C4FAC                             "TppCallbackMayRunLongProlog"
7731A79B push ntdll.772C4E90                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
7731A7E5 push ntdll.7731E76C                             "Status: %08x\n"
7731A819 push ntdll.7731E9FC                             "Instance = %p\n"
7731A856 push ntdll.7731E76C                             "Status: %08x\n"
7731A873 push ntdll.7731E76C                             "Status: %08x\n"
7731A8A5 push ntdll.7731E9FC                             "Instance = %p\n"
7731A8E2 push ntdll.7731E76C                             "Status: %08x\n"
7731A8FF push ntdll.7731E76C                             "Status: %08x\n"
7731A939 push ntdll.7731AA60                             "Exception: .exr %p - .cxr %p - Status 0x%08x - dt nt!_TP_CALLBACK_INSTANCE %p\n"
7731A982 push ntdll.7731AA00                             "Unhandled Exception: .exr %p - .cxr %p - Status 0x%08x - dt nt!_TP_CALLBACK_INSTANCE %p\n"
7731A9AC push ntdll.7731A9CC                             "Recovering the thread after a stack overflow.\n"
7731AD0A push ntdll.7731AD48                             "ThreadPool: attempt to terminate a worker thread via handle %p\nContact the owner of the function calling Terminate/Exit thread.\n"
7731ADE3 push ntdll.7731E99C                             "Work = %p\n"
7731AE53 push ntdll.7731AEC8                             "Executing Simple Work callback %p(%p, %p)\n"
7731AF0A push ntdll.7731E8A0                             "Callback = %p, Context = %p, CallbackEnviron = %p\n"
7731AF11 push ntdll.7731B090                             "TpSimpleTryPost"
7731AF18 push ntdll.772E653C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\simple.c"
7731AF46 push ntdll.7731B06C                             "Allocated simple work %p; posting.\n"
7731AF4C push ntdll.7731B090                             "TpSimpleTryPost"
7731AF56 push ntdll.772E653C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\simple.c"
7731AF7A push ntdll.7731E76C                             "Status: %08x\n"
7731AF81 push ntdll.7731B090                             "TpSimpleTryPost"
7731AF8B push ntdll.772E653C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\simple.c"
7731B045 push ntdll.7731E76C                             "Status: %08x\n"
7731B04C push ntdll.7731B090                             "TpSimpleTryPost"
7731B056 push ntdll.772E653C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\simple.c"
7731B0B5 push ntdll.7731E99C                             "Work = %p\n"
7731B10A push ntdll.7731E788                             "CleanupGroupMember = %p\n"
7731B162 push ntdll.7731B1A4                             "CleanupGroupMember = %p, CancelledCallbackCount = %d\n"
7731B1F0 push ntdll.7731B234                             "CleanupGroupMember = %p, CallbackCount = %d\n"
7731B27F push ntdll.7731B3D8                             "CleanupGroupMember = %p, Context = %p, CallbackEnviron = %p, Flags = 0x%08x, VFuncs = %p\n"
7731B286 push ntdll.7731B3B8                             "TppCleanupGroupMemberInitialize"
7731B28D push ntdll.772C4D28                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
7731B2B1 push ntdll.7731E76C                             "Status: %08x\n"
7731B2B8 push ntdll.7731B3B8                             "TppCleanupGroupMemberInitialize"
7731B2C2 push ntdll.772C4D28                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
7731B306 mov ecx,dword ptr ds:[7738433C]                 &"8C8w8C8w"
7731B30C mov dword ptr ds:[eax],ntdll.77384338           &"8C8w8C8w"
7731B317 mov dword ptr ds:[7738433C],eax                 &"8C8w8C8w"
7731B442 mov eax,ntdll.7731E760                          "TRUE"
7731B449 mov eax,ntdll.772EC2B8                          "FALSE"
7731B455 push ntdll.7731B50C                             "CleanupGroupMember = %p, RaiseIfAlreadyRaised = %hs\n"
7731B4A6 push ntdll.7731E728                             "FALSE\n"
7731B4C7 push ntdll.7731E730                             "TRUE\n"
7731B4EC push ntdll.7731E728                             "FALSE\n"
7731B552 push ntdll.7731E788                             "CleanupGroupMember = %p\n"
7731B559 push ntdll.7731B610                             "TppCleanupGroupMemberDestroy"
7731B563 push ntdll.772C4D28                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
7731B59E push ntdll.7731B610                             "TppCleanupGroupMemberDestroy"
7731B5A8 push ntdll.772C4D28                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
7731B641 push ntdll.7731B6F4                             "Instance = %p, CleanupGroupMember = %p\n"
7731B648 push ntdll.7731B6D0                             "TppCleanupGroupMemberCallbackProlog"
7731B652 push ntdll.772C4D28                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
7731B6B7 push ntdll.7731B6D0                             "TppCleanupGroupMemberCallbackProlog"
7731B6C1 push ntdll.772C4D28                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
7731B9E2 push ntdll.7731E7E8                             "Pool = %p\n"
7731B9E9 push ntdll.7731BD7C                             "TppWorkerThread"
7731B9F3 push ntdll.7731BD4C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\worker.c"
7731BA20 push ntdll.7731BD28                             "Pool release in progress; exiting\n"
7731BA26 push ntdll.7731BD7C                             "TppWorkerThread"
7731BA30 push ntdll.7731BD4C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\worker.c"
7731BA59 push ntdll.7731BD14                             "Top of worker loop\n"
7731BA5F push ntdll.7731BD7C                             "TppWorkerThread"
7731BA69 push ntdll.7731BD4C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\worker.c"
7731BAEA push ntdll.7731BCF0                             "Wait completed with STATUS_ALERTED\n"
7731BAF0 push ntdll.7731BD7C                             "TppWorkerThread"
7731BAFA push ntdll.7731BD4C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\worker.c"
7731BB20 push ntdll.7731BCC8                             "Wait completed with STATUS_USER_APC\n"
7731BB26 push ntdll.7731BD7C                             "TppWorkerThread"
7731BB30 push ntdll.7731BD4C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\worker.c"
7731BC6F push ntdll.7731E76C                             "Status: %08x\n"
7731BC76 push ntdll.7731BD7C                             "TppWorkerThread"
7731BC80 push ntdll.7731BD4C                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\worker.c"
7731BDA0 push ntdll.7731EA14                             "Tcb = %p, Wait = %p\n"
7731BDA7 push ntdll.7731BE2C                             "TppWaiterpRemoveWait"
7731BE16 push ntdll.7731BE2C                             "TppWaiterpRemoveWait"
7731BE5B push ntdll.7731BF6C                             "Tcb = %p, Wait = %p, CapturedHandle = %x\n"
7731BE62 push ntdll.7731BF54                             "TppWaiterpInsertWait"
7731BE6C push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731BF38 push ntdll.7731BF54                             "TppWaiterpInsertWait"
7731BF42 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731BFB2 push ntdll.7731C028                             "Tcb = %p, Index = %d, Wait = %p, Status = %08x\n"
7731BFB9 push ntdll.7731C010                             "TppWaiterpCompleteWait"
7731BFC3 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731BFF6 push ntdll.7731C010                             "TppWaiterpCompleteWait"
7731C000 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C06D push ntdll.7731E80C                             "Tcb = %p\n"
7731C074 push ntdll.7731C1C8                             "TppWaiterpDoTransitions"
7731C07E push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C0A5 mov ecx,ntdll.7731C1C4                          "REL"
7731C0AF mov ecx,ntdll.7731C1C0                          "ABS"
7731C0B8 mov eax,ntdll.7731E760                          "TRUE"
7731C0BF mov eax,ntdll.772EC2B8                          "FALSE"
7731C0D1 push ntdll.7731C130                             "Got stable data for Wait = %p : \n  CapturedHasDueTime = %s\n  CapturedHasDueType = %s\n  CapturedDueTime = 0x%016I64x\n   CapturedHandle = 0x%x\n"
7731C0D8 push ntdll.7731C1C8                             "TppWaiterpDoTransitions"
7731C0E2 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C115 push ntdll.7731C1C8                             "TppWaiterpDoTransitions"
7731C11F push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C1EE push ntdll.7731E80C                             "Tcb = %p\n"
7731C1F5 push ntdll.7731C8D0                             "TppWaiterpThread"
7731C1FF push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C221 push ntdll.7731C8B0                             "Top of waiter loop: Tcb = %p\n"
7731C228 push ntdll.7731C8D0                             "TppWaiterpThread"
7731C232 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C369 mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
7731C390 mov ebx,dword ptr ds:[7FFE03B0]                 "zu_"
7731C419 push ntdll.7731C860                             "Waiter is waiting: Tcb->ActiveWaits = %d, TimeoutPtr = %p, Timeout = %016I64x\n"
7731C420 push ntdll.7731C8D0                             "TppWaiterpThread"
7731C42A mov ebx,ntdll.772C4194                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C44F push ntdll.7731C834                             "Waiter wait completed with status %08x\n"
7731C456 push ntdll.7731C8D0                             "TppWaiterpThread"
7731C549 push ntdll.7731C814                             "Looking for the failing wait\n"
7731C550 push ntdll.7731C8D0                             "TppWaiterpThread"
7731C730 push ntdll.7731C808                             "Exiting\n"
7731C737 push ntdll.7731C8D0                             "TppWaiterpThread"
7731C741 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C7A1 push ntdll.7731E76C                             "Status: %08x\n"
7731C7A8 push ntdll.7731C8D0                             "TppWaiterpThread"
7731C7B2 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C907 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C9A0 push ntdll.7731C9F8                             "Spun up waiter: Tcb = %p\n"
7731C9A7 push ntdll.7731CA14                             "TppWaiterpSpinupThread"
7731C9B1 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7731C9D5 push ntdll.7731E76C                             "Status: %08x\n"
7731C9DC push ntdll.7731CA14                             "TppWaiterpSpinupThread"
7731C9E6 push ntdll.772C4194                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
